128.104.*.*,4889
128.120.*.*,553346
128.138.*.*,387651
128.144.*.*,521757
128.148.*.*,3947
128.150.*.*,35238
128.158.*.*,73249
128.159.*.*,1087358
128.163.*.*,482503
128.165.*.*,92188
128.180.*.*,5388
128.192.*.*,2624
128.196.*.*,24398
128.206.*.*,4233
128.220.*.*,11746
128.227.*.*,456719
128.23.*.*,11747
128.252.*.*,325001
128.253.*.*,269703
128.255.*.*,32988
128.97.*.*,93203
129.108.*.*,12649
129.130.*.*,454963
129.132.*.*,97879
129.135.*.*,11747
129.15.*.*,120788
129.162.*.*,66695
129.187.*.*,19910
129.190.*.*,62896
129.193.*.*,8903
129.219.*.*,16530
129.228.*.*,35792
129.237.*.*,1287102
129.238.*.*,11746
129.243.*.*,104910
129.252.*.*,153937
129.53.*.*,1140
129.57.*.*,14256
129.81.*.*,98546
129.93.*.*,54560
129.96.*.*,4996
130.101.*.*,86425
130.127.*.*,12630
130.158.*.*,40575
130.19.*.*,957522
130.206.*.*,29733
130.207.*.*,23026
130.241.*.*,30666
130.38.*.*,17607
130.54.*.*,13603
130.95.*.*,9566
130.99.*.*,3842
131.110.*.*,37512
131.120.*.*,2624
131.126.*.*,175957
131.144.*.*,5327
131.167.*.*,1296081
131.170.*.*,12588
131.178.*.*,236194
131.181.*.*,35339
131.182.*.*,20474
131.203.*.*,4889
131.215.*.*,32988
131.230.*.*,3073
131.247.*.*,11808
131.250.*.*,67624
131.44.*.*,4889
131.52.*.*,373394
131.90.*.*,8712
131.92.*.*,361577
131.95.*.*,46091
132.170.*.*,114859
132.175.*.*,19488
132.236.*.*,13925
132.248.*.*,106260
132.74.*.*,69622
133.62.*.*,44317
134.116.*.*,4449
134.126.*.*,11590
134.136.*.*,14416
134.156.*.*,61456
134.164.*.*,11747
134.186.*.*,424290
134.20.*.*,247607
134.243.*.*,116342
134.53.*.*,54228
134.67.*.*,378302
134.7.*.*,32505
136.205.*.*,69614
136.210.*.*,3710
137.113.*.*,35969
137.132.*.*,2235
137.159.*.*,14449
137.161.*.*,39435
137.187.*.*,5327
137.219.*.*,1162480
137.227.*.*,89877
137.229.*.*,16131
137.241.*.*,8618
137.243.*.*,52225
137.35.*.*,78093
137.44.*.*,9606
138.13.*.*,91352
138.145.*.*,24576
138.25.*.*,45491
138.26.*.*,11747
138.87.*.*,326105
139.102.*.*,86042
139.104.*.*,85385
139.121.*.*,5207787
139.230.*.*,95929
139.94.*.*,39857
140.112.*.*,18108
140.115.*.*,4889
140.120.*.*,11516
140.183.*.*,35176
140.90.*.*,73392
140.96.*.*,24866
141.161.*.*,444230
141.173.*.*,230122
141.192.*.*,43782
141.209.*.*,1824
141.211.*.*,14484
141.233.*.*,103106
141.243.*.*,1754204
141.244.*.*,4889
142.106.*.*,11516
142.139.*.*,26138
142.140.*.*,54461
142.142.*.*,53501
142.2.*.*,34314
142.227.*.*,15204
142.25.*.*,84897
142.28.*.*,398729
142.36.*.*,10925
142.94.*.*,11808
143.139.*.*,15019
143.166.*.*,232810
143.188.*.*,42748
143.202.*.*,11746
144.207.*.*,134184
144.39.*.*,34095
144.51.*.*,14370
144.92.*.*,58688
146.114.*.*,313850
146.129.*.*,19490
146.137.*.*,17330
146.138.*.*,3865991
146.142.*.*,81406
