146.167.*.*,11747
146.184.*.*,199615
146.229.*.*,2624
146.63.*.*,5532
146.64.*.*,55178
146.83.*.*,1802
147.154.*.*,22125
147.160.*.*,489875
147.46.*.*,120406
147.97.*.*,17563
148.129.*.*,8802
148.149.*.*,164158
148.224.*.*,517280
149.123.*.*,15820
149.136.*.*,11577
149.159.*.*,67951
149.168.*.*,738384
149.25.*.*,93917
149.250.*.*,4254
149.252.*.*,334712
149.4.*.*,0
149.79.*.*,32173
149.8.*.*,2336
150.148.*.*,58862
150.192.*.*,5226
150.200.*.*,147822
150.216.*.*,267433
152.120.*.*,33505
152.123.*.*,40130
152.160.*.*,17331
152.165.*.*,7758
152.35.*.*,14709
153.64.*.*,57523
153.90.*.*,38313
155.187.*.*,7574
155.206.*.*,25125
155.33.*.*,42755
155.75.*.*,61714
155.76.*.*,8718
155.77.*.*,31990
155.78.*.*,11747
155.79.*.*,68101
155.81.*.*,11808
155.82.*.*,121928
155.84.*.*,3895462
155.95.*.*,4914
156.3.*.*,70215
156.41.*.*,798931
156.42.*.*,27049
156.63.*.*,1115597
156.80.*.*,99732
156.98.*.*,2045105
156.99.*.*,11746
157.142.*.*,31060
157.145.*.*,45500
157.182.*.*,23999
157.190.*.*,141854
157.22.*.*,7513
157.92.*.*,75908
158.111.*.*,146885
158.145.*.*,17550
158.185.*.*,50414
158.229.*.*,157168
158.72.*.*,15020
159.105.*.*,33203
159.142.*.*,3517
159.230.*.*,3508
159.238.*.*,130147
160.136.*.*,59406
160.69.*.*,393035
160.80.*.*,340602
161.119.*.*,26710
161.122.*.*,3008684
161.129.*.*,3050
161.156.*.*,11746
161.225.*.*,2624
162.108.*.*,6874
162.15.*.*,16040
162.43.*.*,97403
162.80.*.*,100576
163.13.*.*,11577
163.178.*.*,9185
163.191.*.*,200364
163.206.*.*,53638
163.234.*.*,1380745
164.155.*.*,271513
164.156.*.*,14450
164.158.*.*,35178
164.159.*.*,350670
164.167.*.*,137252
164.64.*.*,235403
165.1.*.*,74884
165.110.*.*,80583
165.113.*.*,26475
165.13.*.*,9384
165.151.*.*,292935
165.152.*.*,29753
165.213.*.*,23813
165.234.*.*,23944
165.235.*.*,11746
167.193.*.*,197904
167.21.*.*,32036
168.154.*.*,11747
168.29.*.*,18900
168.95.*.*,156621
169.14.*.*,61262
170.142.*.*,207919
170.55.*.*,4889
192.102.*.*,9279
192.107.*.*,11747
192.122.*.*,68165
192.137.*.*,179178
192.146.*.*,147980
192.147.*.*,15209
192.154.*.*,11747
192.195.*.*,38602
192.217.*.*,89842
192.228.*.*,7758
192.231.*.*,71394
192.234.*.*,59544
192.239.*.*,51604
192.246.*.*,122909
192.249.*.*,102607
192.43.*.*,11746
192.48.*.*,310715
192.55.*.*,14507
192.58.*.*,130544
192.72.*.*,7513
192.74.*.*,15081
192.88.*.*,166495
193.144.*.*,9502
193.145.*.*,88485
193.56.*.*,10301
193.63.*.*,3421
193.78.*.*,6085
194.151.*.*,19396
194.158.*.*,11746
194.166.*.*,18280
194.20.*.*,211300
194.90.*.*,4888
198.102.*.*,3260369
198.104.*.*,173062
198.105.*.*,47538
198.106.*.*,788749
198.108.*.*,5250
198.109.*.*,437435
198.110.*.*,35749
198.111.*.*,4888
198.137.*.*,290483
198.165.*.*,232428
198.185.*.*,11747
198.215.*.*,32272
198.216.*.*,23877
198.234.*.*,33221
198.31.*.*,78256
198.5.*.*,14507
198.59.*.*,54867
198.69.*.*,34462
198.76.*.*,11746
198.77.*.*,92897
198.80.*.*,24063
198.83.*.*,7030
198.85.*.*,169843
198.86.*.*,14392
198.88.*.*,220449
199.1.*.*,60892
199.11.*.*,70709
199.111.*.*,16635
199.126.*.*,190561
199.16.*.*,0
199.170.*.*,24509
199.190.*.*,33835
199.199.*.*,841
199.213.*.*,35156
199.217.*.*,94474
199.222.*.*,47666
199.223.*.*,1724
199.249.*.*,3852
199.4.*.*,5250
199.73.*.*,86925
199.77.*.*,365696
199.8.*.*,221831
199.89.*.*,19593
200.10.*.*,19645
200.12.*.*,0
200.246.*.*,447618
202.244.*.*,13205
202.32.*.*,159922
202.39.*.*,378246
202.46.*.*,20658
202.96.*.*,10296
203.1.*.*,73853
203.2.*.*,10788
203.249.*.*,88045
203.251.*.*,3785626
204.120.*.*,32988
204.130.*.*,758336
204.157.*.*,106961
204.165.*.*,41943
204.171.*.*,100725
204.176.*.*,26174
204.177.*.*,104910
204.178.*.*,237817
204.185.*.*,138635
204.188.*.*,162121
204.194.*.*,61745
204.233.*.*,45905
204.238.*.*,8361
204.240.*.*,25938
204.242.*.*,325549
204.248.*.*,204373
204.249.*.*,5248
204.250.*.*,109220
204.252.*.*,16762
204.254.*.*,52225
204.255.*.*,164457
204.27.*.*,8486
204.32.*.*,4888
204.4.*.*,30842
204.5.*.*,24376
204.62.*.*,269983
204.7.*.*,1463223
204.73.*.*,38895
204.91.*.*,306466
204.97.*.*,125579
205.133.*.*,101570
205.138.*.*,11747
205.168.*.*,2258
205.197.*.*,4889
205.208.*.*,118278
205.216.*.*,4888
205.217.*.*,4950
205.218.*.*,88805
205.241.*.*,2624
206.26.*.*,114429
206.27.*.*,116718
206.43.*.*,154615
38.12.*.*,202827
